1792.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
1793.png	grinning face with big eyes	😃️	\U0001F603\U0000FE0F	U+1F603	grinning face with big eyes
1794.png	grinning face with smiling eyes	😄️	\U0001F604\U0000FE0F	U+1F604	grinning face with smiling eyes
1795.png	beaming face with smiling eyes	😁️	\U0001F601\U0000FE0F	U+1F601	beaming face with smiling eyes
1796.png	grinning squinting face	😆️	\U0001F606\U0000FE0F	U+1F606	grinning squinting face
1797.png	grinning face with sweat	😅️	\U0001F605\U0000FE0F	U+1F605	grinning face with sweat
1798.png	rolling on the floor laughing	🤣️	\U0001F923\U0000FE0F	U+1F923	rolling on the floor laughing
1799.png	face with tears of joy	😂️	\U0001F602\U0000FE0F	U+1F602	face with tears of joy
1800.png	slightly smiling face	🙂️	\U0001F642\U0000FE0F	U+1F642	slightly smiling face
1801.png	upside-down face	🙃️	\U0001F643\U0000FE0F	U+1F643	upside-down face
1802.png	winking face	😉️	\U0001F609\U0000FE0F	U+1F609	winking face
1803.png	smiling face with smiling eyes	😊️	\U0001F60A\U0000FE0F	U+1F60A	smiling face with smiling eyes
1804.png	smiling face with halo	😇️	\U0001F607\U0000FE0F	U+1F607	smiling face with halo
1805.png	smiling face with hearts	🥰️	\U0001F970\U0000FE0F	U+1F970	smiling face with hearts
1806.png	smiling face with heart-eyes	😍️	\U0001F60D\U0000FE0F	U+1F60D	smiling face with heart-eyes
1807.png	star-struck	🤩️	\U0001F929\U0000FE0F	U+1F929	star-struck
1808.png	face blowing a kiss	😘️	\U0001F618\U0000FE0F	U+1F618	face blowing a kiss
1809.png	kissing face	😗️	\U0001F617\U0000FE0F	U+1F617	kissing face
1810.png	smiling face	☺️	\U0000263A\U0000FE0F	U+263A	smiling face
1811.png	kissing face with closed eyes	😚️	\U0001F61A\U0000FE0F	U+1F61A	kissing face with closed eyes
1812.png	kissing face with smiling eyes	😙️	\U0001F619\U0000FE0F	U+1F619	kissing face with smiling eyes
1813.png	smiling face with tear	🥲️	\U0001F972\U0000FE0F	U+1F972	smiling face with tear
1814.png	face savoring food	😋️	\U0001F60B\U0000FE0F	U+1F60B	face savoring food
